Identifikace přejezdu,TÚ přejezdu,Evidenční km poloha,Zabezpečení přejezdu,Krajský úřad,Oblastní ředitelství,Třída komunikace,Zeměpisná šířka,Zeměpisná délka
P10,0101 - Praha-Bubny (mimo) - Chomutov-záp.zhlaví (mimo),"9,279",S - Světelná PZZ bez závor,Hlavní město Praha,66699 - OŘ Praha,D1 - místní komunikace - pěší a obytné zóny,50° 05' 25.95927'' N,14° 19' 44.13907'' E
P100,0112 - Chomutov-záp.zhlaví (mimo) - Cheb (mimo),"234,565",S - Světelná PZZ se závorami,Karlovarský kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 05' 34.51476'' N,12° 23' 45.75966'' E
P1000,0381 - Strakonice (mimo) - Volary (mimo),"34,451",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,D2 - místní komunikace – nepřístupné motorovým vozidlům,49° 03' 00.66913'' N,13° 46' 32.25326'' E
P1001,0381 - Strakonice (mimo) - Volary (mimo),"34,615",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,49° 02' 58.98565'' N,13° 46' 24.61496'' E
P1002,0381 - Strakonice (mimo) - Volary (mimo),"35,375",S - Světelná PZZ se závorami,Jihočeský kraj,85499 - OŘ Plzeň,I. - silnice I.třídy,49° 02' 54.90110'' N,13° 45' 48.29633'' E
P1005,0381 - Strakonice (mimo) - Volary (mimo),"40,412",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,49° 02' 05.68249'' N,13° 43' 30.48509'' E
P1006,0381 - Strakonice (mimo) - Volary (mimo),"41,172",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,49° 01' 44.22024'' N,13° 43' 19.66077'' E
P1007,0381 - Strakonice (mimo) - Volary (mimo),"41,966",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,49° 01' 20.14202'' N,13° 43' 31.86049'' E
P1008,0381 - Strakonice (mimo) - Volary (mimo),"42,650",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,49° 01' 11.22633'' N,13° 43' 56.73613'' E
P101,0121 - Tršnice (mimo) - Luby u Chebu (včetně),"0,955",N - Přejezd zabezpečený pouze výstražným křížem,Karlovarský kraj,67299 - OŘ Ústí nad Labem,H - účelové komunikace - polní cesty hlavní,50° 07' 17.96517'' N,12° 24' 15.17267'' E
P1011,0381 - Strakonice (mimo) - Volary (mimo),"46,240",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,49° 00' 03.02582'' N,13° 45' 50.76704'' E
P1013,0381 - Strakonice (mimo) - Volary (mimo),"48,028",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 59' 12.13081'' N,13° 46' 18.69781'' E
